Primary Type,Description,Location,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
THEFT,OVER $500,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1176050,1903312,2022,11-12-2022 15:46,41.89005157,-87.62891376,"(41.890051565, -87.62891376)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,132,1,4,33,6,1179869,1891739,2022,11-12-2022 15:46,41.85820776,-87.61524443,"(41.858207756, -87.615244425)"
THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,113,1,4,32,6,1175754,1898974,2022,11-12-2022 15:46,41.87815451,-87.63013134,"(41.87815451, -87.630131336)"
THEFT,OVER $500,STREET,FALSE,FALSE,225,2,3,40,6,1178084,1868904,2022,11-12-2022 15:46,41.79558748,-87.62248993,"(41.79558748, -87.622489932)"
THEFT,OVER $500,CONSTRUCTION SITE,FALSE,FALSE,1225,12,28,28,6,1163142,1897621,2022,11-12-2022 15:46,41.87471598,-87.67647753,"(41.874715981, -87.676477533)"
THEFT,OVER $500,STREET,FALSE,FALSE,2413,24,50,2,6,1155922,1939939,2022,11-12-2022 15:46,41.99098826,-87.70184193,"(41.990988256, -87.701841928)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1221,12,1,24,6,1164062,1905377,2022,11-12-2022 15:46,41.8959797,-87.67288053,"(41.895979702, -87.672880528)"
THEFT,OVER $500,STREET,FALSE,FALSE,531,5,9,50,6,1182622,1829208,2022,11-12-2022 15:46,41.68655306,-87.60707758,"(41.686553064, -87.607077575)"
THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,1412,14,35,22,6,1153480,1918417,2022,11-12-2022 15:46,41.93197956,-87.71139883,"(41.931979558, -87.711398834)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1132,11,24,26,6,1149556,1896472,2022,11-12-2022 15:46,41.87183747,-87.72638964,"(41.871837467, -87.726389638)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2513,25,29,25,6,1136098,1912178,2022,11-12-2022 15:46,41.91518726,-87.77542523,"(41.915187259, -87.775425225)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,222,2,4,39,6,1183133,1873130,2022,10-11-2022 16:45,41.80706791,-87.60384375,"(41.807067906, -87.603843747)"
THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,113,1,42,32,6,1176411,1899396,2022,11-12-2022 15:46,41.87929771,-87.62770627,"(41.879297705, -87.627706271)"
THEFT,OVER $500,GROCERY FOOD STORE,FALSE,FALSE,2023,20,48,77,6,1168697,1934885,2022,11-12-2022 15:46,41.97685185,-87.65499969,"(41.976851852, -87.654999693)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1423,14,26,24,6,1158501,1908544,2022,11-12-2022 15:46,41.90478587,-87.69321814,"(41.904785869, -87.693218143)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,735,7,17,67,6,1166263,1856757,2022,11-12-2022 15:46,41.76251462,-87.66618349,"(41.762514616, -87.666183493)"
THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,1832,18,42,8,6,1174629,1904304,2022,10-11-2022 16:45,41.89280556,-87.63410257,"(41.892805561, -87.63410257)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,124,1,25,28,6,1172744,1894970,2022,11-12-2022 15:46,41.8672344,-87.64130179,"(41.867234401, -87.641301791)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,1022,10,24,29,6,1154891,1894243,2022,11-12-2022 15:46,41.86561567,-87.70686229,"(41.865615666, -87.706862288)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,834,8,18,70,6,1156493,1849305,2022,11-12-2022 15:46,41.74226749,-87.70219262,"(41.742267488, -87.702192623)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,132,1,4,33,6,1179869,1891739,2022,11-12-2022 15:46,41.85820776,-87.61524443,"(41.858207756, -87.615244425)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,331,3,5,41,6,1189559,1867364,2022,11-12-2022 15:46,41.79109353,-87.58046076,"(41.791093526, -87.580460763)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1034,10,25,31,6,1160857,1884692,2022,11-12-2022 15:46,41.83928518,-87.68522539,"(41.83928518, -87.685225392)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,1112,11,37,23,6,1150569,1905368,2022,11-12-2022 15:46,41.89622933,-87.72243797,"(41.896229333, -87.722437972)"
THEFT,OVER $500,RESIDENCE - GARAGE,FALSE,FALSE,1834,18,42,8,6,1176302,1903096,2022,11-12-2022 15:46,41.88945317,-87.62799483,"(41.889453169, -87.627994833)"
THEFT,OVER $500,STREET,FALSE,FALSE,1433,14,27,24,6,1167513,1910172,2022,11-12-2022 15:46,41.9090639,-87.66006756,"(41.909063898, -87.660067562)"
THEFT,OVER $500,STREET,FALSE,FALSE,913,9,11,60,6,1169231,1885622,2022,11-12-2022 15:46,41.84165968,-87.65446976,"(41.841659682, -87.654469757)"
THEFT,OVER $500,STREET,FALSE,FALSE,215,2,3,38,6,1178761,1876397,2022,11-12-2022 15:46,41.81613355,-87.61977925,"(41.816133545, -87.619779248)"
THEFT,OVER $500,RESIDENCE,FALSE,TRUE,725,7,16,67,6,1167371,1860303,2022,10-11-2022 16:45,41.77222165,-87.66202106,"(41.772221652, -87.662021064)"
THEFT,OVER $500,STREET,FALSE,FALSE,331,3,5,41,6,1189729,1867390,2022,10-11-2022 16:45,41.79116079,-87.57983659,"(41.791160785, -87.579836586)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1176955,1900419,2022,11-12-2022 15:46,41.88209258,-87.62567784,"(41.882092584, -87.625677844)"
