Primary Type,Beat
BATTERY,914
MOTOR VEHICLE THEFT,132
BATTERY,1024
THEFT,1834
BURGLARY,2033
ROBBERY,932
OTHER OFFENSE,1112
CRIMINAL DAMAGE,113
ROBBERY,2525
BATTERY,113
CRIMINAL DAMAGE,1113
BATTERY,432
THEFT,1621
CRIMINAL DAMAGE,933
MOTOR VEHICLE THEFT,2525
CRIMINAL DAMAGE,411
ROBBERY,1831
ASSAULT,1733
BATTERY,232
BATTERY,421
BATTERY,1213
THEFT,311
BATTERY,2521
THEFT,2011
BATTERY,2534
BATTERY,411
THEFT,1125
CRIMINAL DAMAGE,915
CRIMINAL DAMAGE,1021
THEFT,1915
CRIMINAL DAMAGE,2024
MOTOR VEHICLE THEFT,722
ASSAULT,814
ASSAULT,113
THEFT,412
MOTOR VEHICLE THEFT,735
ROBBERY,634
BATTERY,1111
THEFT,1034
ASSAULT,633
OTHER OFFENSE,1624
OTHER OFFENSE,523
BATTERY,424
THEFT,2211
CRIMINAL DAMAGE,1934
THEFT,1433
THEFT,1614
THEFT,1232
THEFT,524
BATTERY,1133
ASSAULT,1021
BURGLARY,1631
CRIMINAL DAMAGE,412
BURGLARY,1632
BURGLARY,1622
BATTERY,1414
BATTERY,1834
OTHER OFFENSE,834
BATTERY,823
ASSAULT,733
DECEPTIVE PRACTICE,832
ROBBERY,1434
THEFT,1921
BATTERY,624
WEAPONS VIOLATION,412
BATTERY,1834
THEFT,114
BATTERY,334
THEFT,513
BURGLARY,633
THEFT,523
OTHER OFFENSE,1913
THEFT,121
CRIMINAL DAMAGE,735
DECEPTIVE PRACTICE,1655
BURGLARY,2211
ASSAULT,834
CRIMINAL DAMAGE,2022
BURGLARY,334
CRIMINAL DAMAGE,632
CRIMINAL DAMAGE,223
BATTERY,923
CRIMINAL TRESPASS,1232
BURGLARY,823
THEFT,2222
DECEPTIVE PRACTICE,2433
THEFT,1824
THEFT,323
BURGLARY,612
THEFT,1135
THEFT,833
CRIMINAL DAMAGE,411
THEFT,924
ROBBERY,412
THEFT,121
OTHER OFFENSE,1631
THEFT,1414
CRIMINAL DAMAGE,1634
BATTERY,423
DECEPTIVE PRACTICE,1622
OTHER OFFENSE,511
BATTERY,914
ASSAULT,915
CRIMINAL DAMAGE,323
OTHER OFFENSE,914
CRIMINAL DAMAGE,1623
CRIMINAL DAMAGE,623
THEFT,1211
THEFT,1112
OTHER OFFENSE,2221
THEFT,1125
DECEPTIVE PRACTICE,2222
OFFENSE INVOLVING CHILDREN,1623
BATTERY,1122
NARCOTICS,1121
CRIMINAL DAMAGE,221
THEFT,1633
THEFT,1633
THEFT,124
THEFT,733
CRIMINAL SEXUAL ASSAULT,1834
THEFT,114
THEFT,831
THEFT,532
CRIMINAL DAMAGE,1512
THEFT,1712
OTHER OFFENSE,2524
CRIMINAL DAMAGE,1021
THEFT,1824
CRIMINAL DAMAGE,1013
ASSAULT,1833
THEFT,131
ROBBERY,932
OFFENSE INVOLVING CHILDREN,1121
THEFT,612
THEFT,423
THEFT,1824
CRIMINAL DAMAGE,2222
ROBBERY,331
BATTERY,1722
BURGLARY,1214
NARCOTICS,1132
THEFT,223
CRIMINAL DAMAGE,423
NARCOTICS,1122
OTHER OFFENSE,1623
CRIMINAL DAMAGE,714
THEFT,823
CRIMINAL DAMAGE,1225
ASSAULT,424
THEFT,124
BATTERY,821
THEFT,1513
THEFT,1424
THEFT,813
BATTERY,1522
THEFT,1831
ASSAULT,2031
DECEPTIVE PRACTICE,1811
BATTERY,311
BATTERY,725
BATTERY,431
CRIMINAL DAMAGE,1422
THEFT,1935
ASSAULT,612
THEFT,2424
THEFT,2011
CRIMINAL DAMAGE,2431
DECEPTIVE PRACTICE,2524
SEX OFFENSE,1214
THEFT,1434
MOTOR VEHICLE THEFT,1222
OTHER OFFENSE,2432
MOTOR VEHICLE THEFT,1221
OTHER OFFENSE,824
DECEPTIVE PRACTICE,2024
DECEPTIVE PRACTICE,1622
DECEPTIVE PRACTICE,1811
CRIMINAL TRESPASS,1522
THEFT,2422
CRIMINAL DAMAGE,1433
THEFT,924
MOTOR VEHICLE THEFT,434
THEFT,222
THEFT,1923
THEFT,914
DECEPTIVE PRACTICE,834
THEFT,111
THEFT,1912
THEFT,1612
BATTERY,734
OTHER OFFENSE,733
THEFT,1232
DECEPTIVE PRACTICE,831
THEFT,2433
OTHER OFFENSE,1024
BATTERY,1024
BATTERY,1723
OTHER OFFENSE,1631
OTHER OFFENSE,911
BATTERY,1133
DECEPTIVE PRACTICE,1632
DECEPTIVE PRACTICE,423
WEAPONS VIOLATION,1833
WEAPONS VIOLATION,915
THEFT,2512
CRIMINAL TRESPASS,411
THEFT,2212
OTHER OFFENSE,511
THEFT,621
BATTERY,332
ASSAULT,2423
BATTERY,1511
THEFT,2023
WEAPONS VIOLATION,725
CRIMINAL DAMAGE,423
THEFT,524
CRIMINAL DAMAGE,2233
THEFT,1834
THEFT,1832
CRIMINAL TRESPASS,1834
ASSAULT,912
BATTERY,512
THEFT,1834
THEFT,1833
CRIMINAL DAMAGE,423
ASSAULT,314
CRIMINAL DAMAGE,421
BATTERY,2233
THEFT,235
THEFT,1212
THEFT,1132
BATTERY,2534
DECEPTIVE PRACTICE,212
THEFT,124
ROBBERY,1522
THEFT,223
ROBBERY,2432
THEFT,1925
CRIMINAL TRESPASS,1923
BATTERY,2222
MOTOR VEHICLE THEFT,2223
BATTERY,614
BATTERY,1523
SEX OFFENSE,1915
CRIMINAL TRESPASS,1224
THEFT,1933
BATTERY,321
BATTERY,1824
THEFT,421
CRIMINAL DAMAGE,934
MOTOR VEHICLE THEFT,1822
BURGLARY,524
MOTOR VEHICLE THEFT,312
DECEPTIVE PRACTICE,2422
OTHER OFFENSE,2511
DECEPTIVE PRACTICE,2413
BATTERY,914
ROBBERY,935
MOTOR VEHICLE THEFT,833
THEFT,124
THEFT,2533
ASSAULT,2211
NARCOTICS,1122
DECEPTIVE PRACTICE,2411
OTHER OFFENSE,2413
THEFT,1633
BATTERY,612
WEAPONS VIOLATION,213
THEFT,923
CRIMINAL DAMAGE,2423
BATTERY,324
CRIMINAL TRESPASS,1921
THEFT,1424
OTHER OFFENSE,1124
ASSAULT,2513
THEFT,2032
SEX OFFENSE,1013
ASSAULT,1623
BATTERY,1654
WEAPONS VIOLATION,2522
THEFT,123
THEFT,124
WEAPONS VIOLATION,1834
THEFT,2232
CRIMINAL DAMAGE,931
BATTERY,1123
MOTOR VEHICLE THEFT,224
MOTOR VEHICLE THEFT,1834
DECEPTIVE PRACTICE,1411
CONCEALED CARRY LICENSE VIOLATION,1651
BURGLARY,223
WEAPONS VIOLATION,711
MOTOR VEHICLE THEFT,221
OTHER OFFENSE,132
CRIMINAL TRESPASS,2515
NARCOTICS,1122
BATTERY,2033
DECEPTIVE PRACTICE,2512
BATTERY,1834
BATTERY,215
OTHER OFFENSE,813
BATTERY,211
BATTERY,2531
ROBBERY,914
THEFT,1834
CRIMINAL DAMAGE,723
OTHER OFFENSE,2234
PUBLIC PEACE VIOLATION,2431
THEFT,925
BATTERY,2433
THEFT,1123
OTHER OFFENSE,334
CRIMINAL SEXUAL ASSAULT,1834
THEFT,835
ROBBERY,825
DECEPTIVE PRACTICE,214
DECEPTIVE PRACTICE,833
BURGLARY,333
THEFT,2211
NARCOTICS,331
BATTERY,423
BURGLARY,831
MOTOR VEHICLE THEFT,1611
BATTERY,2515
ASSAULT,2212
THEFT,131
BATTERY,1821
STALKING,2022
NARCOTICS,1014
ASSAULT,735
BATTERY,1522
MOTOR VEHICLE THEFT,832
CRIMINAL DAMAGE,1211
CRIMINAL DAMAGE,831
CRIMINAL DAMAGE,2534
THEFT,2233
CRIMINAL DAMAGE,2512
THEFT,2533
CRIMINAL DAMAGE,133
THEFT,2512
BURGLARY,831
DECEPTIVE PRACTICE,234
THEFT,613
THEFT,1414
NARCOTICS,1512
ASSAULT,1831
BATTERY,1423
WEAPONS VIOLATION,634
BATTERY,1021
BATTERY,231
SEX OFFENSE,1233
OTHER OFFENSE,513
OTHER OFFENSE,1233
BATTERY,1211
ASSAULT,1122
BATTERY,1623
BATTERY,735
MOTOR VEHICLE THEFT,2424
BATTERY,333
BATTERY,2521
BATTERY,225
CRIMINAL DAMAGE,1234
BATTERY,835
ASSAULT,411
THEFT,1922
ASSAULT,1021
CRIMINAL DAMAGE,222
THEFT,2521
OTHER OFFENSE,2223
THEFT,2422
THEFT,1132
DECEPTIVE PRACTICE,1823
ASSAULT,1213
CRIMINAL SEXUAL ASSAULT,923
WEAPONS VIOLATION,232
NARCOTICS,1112
ASSAULT,2411
MOTOR VEHICLE THEFT,2521
OTHER OFFENSE,413
WEAPONS VIOLATION,421
WEAPONS VIOLATION,613
BATTERY,631
CRIMINAL DAMAGE,1512
ASSAULT,421
WEAPONS VIOLATION,2515
ASSAULT,1123
DECEPTIVE PRACTICE,423
MOTOR VEHICLE THEFT,1032
BATTERY,114
THEFT,1132
CRIMINAL DAMAGE,1234
MOTOR VEHICLE THEFT,233
THEFT,124
MOTOR VEHICLE THEFT,824
OFFENSE INVOLVING CHILDREN,2222
ASSAULT,434
BATTERY,2431
THEFT,824
CRIMINAL DAMAGE,2534
OTHER OFFENSE,1831
ROBBERY,1414
CRIMINAL DAMAGE,731
MOTOR VEHICLE THEFT,1133
ASSAULT,922
THEFT,2534
ROBBERY,733
NARCOTICS,1712
WEAPONS VIOLATION,523
BATTERY,2432
ROBBERY,324
DECEPTIVE PRACTICE,332
BATTERY,611
CRIMINAL TRESPASS,831
NARCOTICS,113
BATTERY,1423
BATTERY,1111
BATTERY,913
THEFT,2512
BATTERY,1914
BATTERY,421
OTHER OFFENSE,1422
BURGLARY,2533
CRIMINAL DAMAGE,832
CRIMINAL DAMAGE,1122
NARCOTICS,835
WEAPONS VIOLATION,1831
WEAPONS VIOLATION,631
BURGLARY,1812
THEFT,2515
WEAPONS VIOLATION,423
OFFENSE INVOLVING CHILDREN,1925
THEFT,1921
ROBBERY,1211
MOTOR VEHICLE THEFT,411
THEFT,2212
THEFT,2521
THEFT,222
NARCOTICS,1222
BATTERY,511
CRIMINAL TRESPASS,1223
NARCOTICS,1412
OTHER OFFENSE,725
BATTERY,1232
BATTERY,431
THEFT,832
THEFT,1732
CRIMINAL DAMAGE,822
OFFENSE INVOLVING CHILDREN,1112
ASSAULT,2523
BATTERY,621
MOTOR VEHICLE THEFT,224
ASSAULT,2523
THEFT,1821
ROBBERY,421
CRIMINAL DAMAGE,1124
BURGLARY,1924
MOTOR VEHICLE THEFT,2212
ROBBERY,1922
ASSAULT,1434
MOTOR VEHICLE THEFT,511
CRIMINAL DAMAGE,1211
THEFT,2212
BURGLARY,1831
THEFT,1432
THEFT,211
BATTERY,123
MOTOR VEHICLE THEFT,2213
ROBBERY,222
CRIMINAL TRESPASS,1124
ASSAULT,1523
WEAPONS VIOLATION,1031
ASSAULT,1014
BATTERY,1123
WEAPONS VIOLATION,1532
BATTERY,1034
MOTOR VEHICLE THEFT,2223
CRIMINAL DAMAGE,432
PUBLIC PEACE VIOLATION,114
DECEPTIVE PRACTICE,1212
BATTERY,212
CRIMINAL DAMAGE,834
DECEPTIVE PRACTICE,1531
DECEPTIVE PRACTICE,123
DECEPTIVE PRACTICE,313
ASSAULT,1411
THEFT,623
DECEPTIVE PRACTICE,813
THEFT,133
ASSAULT,413
THEFT,523
THEFT,1022
DECEPTIVE PRACTICE,712
MOTOR VEHICLE THEFT,931
BURGLARY,1212
MOTOR VEHICLE THEFT,412
BATTERY,725
NARCOTICS,1122
ASSAULT,1021
DECEPTIVE PRACTICE,712
BURGLARY,712
DECEPTIVE PRACTICE,1723
THEFT,322
DECEPTIVE PRACTICE,722
THEFT,111
DECEPTIVE PRACTICE,623
ASSAULT,1634
OFFENSE INVOLVING CHILDREN,1532
DECEPTIVE PRACTICE,2531
DECEPTIVE PRACTICE,1213
OFFENSE INVOLVING CHILDREN,1021
CRIMINAL DAMAGE,1122
ASSAULT,623
MOTOR VEHICLE THEFT,412
INTERFERENCE WITH PUBLIC OFFICER,1533
THEFT,611
ASSAULT,932
DECEPTIVE PRACTICE,1731
BATTERY,1124
WEAPONS VIOLATION,2223
BATTERY,331
BATTERY,933
BATTERY,932
WEAPONS VIOLATION,224
ASSAULT,1731
CRIMINAL DAMAGE,932
BURGLARY,524
BATTERY,824
BATTERY,1611
CRIMINAL DAMAGE,633
BATTERY,1925
WEAPONS VIOLATION,423
MOTOR VEHICLE THEFT,414
BURGLARY,1632
MOTOR VEHICLE THEFT,412
CRIMINAL DAMAGE,1731
THEFT,623
BATTERY,1921
BURGLARY,612
THEFT,1912
BATTERY,431
CRIMINAL DAMAGE,834
BATTERY,1023
THEFT,1925
CRIMINAL DAMAGE,632
CRIMINAL DAMAGE,632
SEX OFFENSE,2013
ROBBERY,1131
BATTERY,333
BATTERY,234
ROBBERY,113
THEFT,2032
MOTOR VEHICLE THEFT,914
BATTERY,613
ROBBERY,815
THEFT,111
CRIMINAL DAMAGE,2221
THEFT,2023
THEFT,2213
OTHER OFFENSE,914
MOTOR VEHICLE THEFT,2222
THEFT,922
BATTERY,1011
WEAPONS VIOLATION,1011
ROBBERY,123
MOTOR VEHICLE THEFT,412
THEFT,1124
THEFT,2232
THEFT,622
THEFT,613
ROBBERY,212
THEFT,622
DECEPTIVE PRACTICE,322
CRIMINAL TRESPASS,732
MOTOR VEHICLE THEFT,421
WEAPONS VIOLATION,1225
THEFT,734
BATTERY,723
OTHER OFFENSE,2433
THEFT,1934
CRIMINAL TRESPASS,223
THEFT,923
MOTOR VEHICLE THEFT,1434
CRIMINAL DAMAGE,221
MOTOR VEHICLE THEFT,224
THEFT,823
ASSAULT,422
ASSAULT,813
CRIMINAL DAMAGE,831
MOTOR VEHICLE THEFT,131
CRIMINAL DAMAGE,634
SEX OFFENSE,1222
CRIMINAL DAMAGE,831
CRIMINAL TRESPASS,1655
ROBBERY,213
THEFT,1232
DECEPTIVE PRACTICE,1821
CRIMINAL DAMAGE,1031
BATTERY,1022
OTHER OFFENSE,1731
ASSAULT,1511
CRIMINAL DAMAGE,725
THEFT,124
BATTERY,1131
CRIMINAL DAMAGE,1214
THEFT,423
OTHER OFFENSE,1731
BATTERY,2512
THEFT,1633
BATTERY,2511
THEFT,832
MOTOR VEHICLE THEFT,423
THEFT,1914
DECEPTIVE PRACTICE,621
BATTERY,824
MOTOR VEHICLE THEFT,2535
THEFT,523
CRIMINAL DAMAGE,131
DECEPTIVE PRACTICE,2031
CRIMINAL SEXUAL ASSAULT,624
ROBBERY,123
BURGLARY,512
BATTERY,1022
CRIMINAL DAMAGE,733
OTHER OFFENSE,1122
MOTOR VEHICLE THEFT,324
THEFT,1834
BATTERY,1131
BATTERY,2511
DECEPTIVE PRACTICE,913
DECEPTIVE PRACTICE,1724
CRIMINAL DAMAGE,1933
BATTERY,1633
DECEPTIVE PRACTICE,1814
MOTOR VEHICLE THEFT,923
BATTERY,1724
ROBBERY,213
BURGLARY,1434
THEFT,1934
DECEPTIVE PRACTICE,2411
HOMICIDE,931
HOMICIDE,931
THEFT,2521
OTHER OFFENSE,334
CRIMINAL DAMAGE,133
BURGLARY,631
CRIMINAL DAMAGE,1215
BATTERY,714
THEFT,624
MOTOR VEHICLE THEFT,2223
NARCOTICS,1532
CRIMINAL DAMAGE,1011
THEFT,823
DECEPTIVE PRACTICE,1651
THEFT,613
BATTERY,1134
OTHER OFFENSE,2223
ASSAULT,123
MOTOR VEHICLE THEFT,1214
THEFT,1935
THEFT,1232
ASSAULT,715
OTHER OFFENSE,225
ASSAULT,1214
DECEPTIVE PRACTICE,512
THEFT,1824
BATTERY,234
OFFENSE INVOLVING CHILDREN,631
NARCOTICS,1225
CRIMINAL DAMAGE,612
ASSAULT,723
BATTERY,1233
DECEPTIVE PRACTICE,924
BATTERY,2523
THEFT,1651
MOTOR VEHICLE THEFT,2413
DECEPTIVE PRACTICE,2535
MOTOR VEHICLE THEFT,322
DECEPTIVE PRACTICE,1122
OTHER OFFENSE,124
THEFT,2212
ROBBERY,2422
WEAPONS VIOLATION,2431
CRIMINAL DAMAGE,915
THEFT,2423
THEFT,2212
OTHER OFFENSE,822
BATTERY,824
THEFT,614
ASSAULT,1233
BATTERY,334
THEFT,1023
OTHER OFFENSE,1934
BATTERY,923
THEFT,1913
CRIMINAL DAMAGE,833
BATTERY,1632
THEFT,225
BATTERY,713
NARCOTICS,1532
THEFT,712
DECEPTIVE PRACTICE,815
BATTERY,2532
MOTOR VEHICLE THEFT,1411
OFFENSE INVOLVING CHILDREN,623
DECEPTIVE PRACTICE,1723
BATTERY,1014
THEFT,1135
THEFT,612
BATTERY,123
BATTERY,1122
DECEPTIVE PRACTICE,1622
MOTOR VEHICLE THEFT,413
THEFT,234
DECEPTIVE PRACTICE,314
ASSAULT,233
BATTERY,533
DECEPTIVE PRACTICE,1524
THEFT,131
DECEPTIVE PRACTICE,433
DECEPTIVE PRACTICE,1731
OTHER OFFENSE,1112
THEFT,835
BATTERY,2233
BATTERY,1135
OTHER OFFENSE,1113
ROBBERY,1833
OTHER OFFENSE,726
CRIMINAL DAMAGE,634
BATTERY,1023
OTHER OFFENSE,1413
ASSAULT,1233
WEAPONS VIOLATION,831
ASSAULT,631
ASSAULT,814
THEFT,1433
ASSAULT,1522
PUBLIC PEACE VIOLATION,834
CRIMINAL TRESPASS,113
CRIMINAL DAMAGE,1223
THEFT,2512
MOTOR VEHICLE THEFT,832
THEFT,1811
THEFT,2223
OTHER OFFENSE,812
THEFT,131
THEFT,814
DECEPTIVE PRACTICE,1921
ROBBERY,1833
OTHER OFFENSE,1422
BATTERY,431
BATTERY,834
BATTERY,834
MOTOR VEHICLE THEFT,414
BURGLARY,1911
WEAPONS VIOLATION,2232
OTHER OFFENSE,1624
THEFT,513
THEFT,913
WEAPONS VIOLATION,524
OTHER OFFENSE,312
CRIMINAL TRESPASS,122
OTHER OFFENSE,1812
BATTERY,421
BATTERY,1123
NARCOTICS,1532
BATTERY,613
BURGLARY,913
OTHER OFFENSE,333
THEFT,931
MOTOR VEHICLE THEFT,132
MOTOR VEHICLE THEFT,1834
BURGLARY,1221
OTHER OFFENSE,714
MOTOR VEHICLE THEFT,1112
MOTOR VEHICLE THEFT,232
THEFT,612
OTHER OFFENSE,234
NARCOTICS,1824
BATTERY,622
ROBBERY,523
PUBLIC PEACE VIOLATION,1711
CRIMINAL DAMAGE,1712
BATTERY,2431
OTHER OFFENSE,2532
THEFT,634
THEFT,1914
ASSAULT,1624
ASSAULT,1031
BATTERY,1632
ASSAULT,823
THEFT,1911
MOTOR VEHICLE THEFT,2431
ROBBERY,412
OTHER OFFENSE,1522
ASSAULT,1122
MOTOR VEHICLE THEFT,2413
THEFT,225
ASSAULT,611
OTHER OFFENSE,433
CRIMINAL TRESPASS,1612
OFFENSE INVOLVING CHILDREN,533
CRIMINAL DAMAGE,1114
DECEPTIVE PRACTICE,1935
BATTERY,224
THEFT,1121
THEFT,1824
CRIMINAL SEXUAL ASSAULT,1834
ASSAULT,313
CRIMINAL DAMAGE,333
CRIMINAL DAMAGE,2013
ASSAULT,114
THEFT,1812
ROBBERY,1122
CRIMINAL DAMAGE,411
NARCOTICS,225
OTHER OFFENSE,2211
BATTERY,813
THEFT,2524
BATTERY,421
ASSAULT,414
THEFT,1424
BATTERY,1722
THEFT,322
THEFT,1622
DECEPTIVE PRACTICE,212
DECEPTIVE PRACTICE,2433
THEFT,1412
BURGLARY,811
OTHER OFFENSE,932
THEFT,2032
ASSAULT,1413
BATTERY,524
CRIMINAL DAMAGE,2412
OTHER OFFENSE,1834
BATTERY,2514
BATTERY,412
BATTERY,222
THEFT,1522
MOTOR VEHICLE THEFT,914
THEFT,811
OTHER OFFENSE,1935
NARCOTICS,1011
ASSAULT,124
THEFT,421
MOTOR VEHICLE THEFT,631
THEFT,921
CRIMINAL DAMAGE,634
BATTERY,621
DECEPTIVE PRACTICE,633
BATTERY,213
CRIMINAL TRESPASS,124
NARCOTICS,1011
THEFT,313
WEAPONS VIOLATION,1133
THEFT,421
SEX OFFENSE,421
NARCOTICS,1122
CRIMINAL TRESPASS,1821
THEFT,422
OTHER OFFENSE,1233
OTHER OFFENSE,523
ASSAULT,1522
THEFT,211
CRIMINAL DAMAGE,621
BATTERY,414
CRIMINAL DAMAGE,133
THEFT,922
BATTERY,824
CRIMINAL DAMAGE,431
THEFT,1623
THEFT,2422
BATTERY,223
THEFT,731
WEAPONS VIOLATION,1131
ROBBERY,215
CRIMINAL SEXUAL ASSAULT,213
CRIMINAL DAMAGE,1024
BATTERY,1823
THEFT,1424
THEFT,323
CRIMINAL DAMAGE,633
MOTOR VEHICLE THEFT,1511
BATTERY,1422
CRIMINAL TRESPASS,1523
THEFT,1713
DECEPTIVE PRACTICE,1234
THEFT,912
THEFT,1234
THEFT,711
DECEPTIVE PRACTICE,1512
BATTERY,1522
ROBBERY,2223
BATTERY,813
THEFT,2411
THEFT,1712
THEFT,833
ASSAULT,1712
MOTOR VEHICLE THEFT,423
THEFT,1722
BATTERY,413
OTHER OFFENSE,1121
THEFT,1724
CRIMINAL DAMAGE,334
BATTERY,1115
CRIMINAL DAMAGE,813
THEFT,621
ASSAULT,725
THEFT,1833
MOTOR VEHICLE THEFT,123
BATTERY,1633
BATTERY,633
ASSAULT,133
ASSAULT,2423
BATTERY,1513
THEFT,112
CRIMINAL SEXUAL ASSAULT,2515
BATTERY,2433
MOTOR VEHICLE THEFT,213
THEFT,922
BATTERY,123
THEFT,2521
DECEPTIVE PRACTICE,132
THEFT,1833
THEFT,1214
BATTERY,124
BATTERY,622
THEFT,2523
NARCOTICS,1211
THEFT,532
OTHER OFFENSE,1623
THEFT,235
THEFT,1214
THEFT,1614
THEFT,1224
ASSAULT,713
ASSAULT,735
THEFT,124
CRIMINAL DAMAGE,823
WEAPONS VIOLATION,823
DECEPTIVE PRACTICE,123
ROBBERY,1122
CRIMINAL DAMAGE,132
BURGLARY,412
CRIMINAL DAMAGE,122
THEFT,923
OTHER OFFENSE,1235
DECEPTIVE PRACTICE,732
MOTOR VEHICLE THEFT,1221
BATTERY,2512
CRIMINAL DAMAGE,1914
MOTOR VEHICLE THEFT,634
ROBBERY,432
NARCOTICS,1121
CRIMINAL DAMAGE,234
CRIMINAL DAMAGE,523
INTERFERENCE WITH PUBLIC OFFICER,624
BATTERY,512
MOTOR VEHICLE THEFT,1221
ASSAULT,1712
BURGLARY,323
BURGLARY,612
MOTOR VEHICLE THEFT,1224
CRIMINAL DAMAGE,634
OTHER OFFENSE,1421
CRIMINAL DAMAGE,432
NARCOTICS,1531
WEAPONS VIOLATION,524
WEAPONS VIOLATION,423
THEFT,2422
ROBBERY,812
CRIMINAL SEXUAL ASSAULT,914
CRIMINAL DAMAGE,214
BURGLARY,432
THEFT,631
OFFENSE INVOLVING CHILDREN,312
ARSON,222
NARCOTICS,1112
CRIMINAL DAMAGE,1224
THEFT,924
MOTOR VEHICLE THEFT,1533
PUBLIC PEACE VIOLATION,513
DECEPTIVE PRACTICE,1013
CRIMINAL DAMAGE,1722
BATTERY,814
THEFT,1634
BATTERY,731
CRIMINAL TRESPASS,411
ASSAULT,821
NARCOTICS,1722
THEFT,1623
BURGLARY,1112
CRIMINAL DAMAGE,613
THEFT,924
MOTOR VEHICLE THEFT,612
THEFT,2023
OTHER OFFENSE,2022
BURGLARY,2422
BATTERY,913
WEAPONS VIOLATION,225
MOTOR VEHICLE THEFT,1633
OTHER OFFENSE,1821
OTHER OFFENSE,2515
DECEPTIVE PRACTICE,632
MOTOR VEHICLE THEFT,2212
THEFT,613
BATTERY,312
MOTOR VEHICLE THEFT,1211
ASSAULT,1912
THEFT,1723
BATTERY,232
CRIMINAL DAMAGE,1913
THEFT,714
CRIMINAL DAMAGE,631
CRIMINAL DAMAGE,623
CRIMINAL SEXUAL ASSAULT,421
THEFT,815
BATTERY,1632
DECEPTIVE PRACTICE,814
OTHER OFFENSE,1234
ROBBERY,323
BATTERY,1621
BATTERY,2233
CRIMINAL TRESPASS,823
WEAPONS VIOLATION,2223
THEFT,524
CRIMINAL DAMAGE,2011
MOTOR VEHICLE THEFT,1221
OFFENSE INVOLVING CHILDREN,731
BATTERY,333
THEFT,825
THEFT,1915
OTHER OFFENSE,921
THEFT,1412
MOTOR VEHICLE THEFT,1135
ASSAULT,122
CRIMINAL DAMAGE,633
CRIMINAL DAMAGE,123
ASSAULT,1422
THEFT,513
THEFT,1121
DECEPTIVE PRACTICE,2234
THEFT,2524
MOTOR VEHICLE THEFT,2524
THEFT,612
OTHER OFFENSE,215
DECEPTIVE PRACTICE,311
SEX OFFENSE,2534
KIDNAPPING,815
DECEPTIVE PRACTICE,1925
THEFT,1013
CRIMINAL SEXUAL ASSAULT,312
DECEPTIVE PRACTICE,835
BURGLARY,1224
DECEPTIVE PRACTICE,1512
CRIMINAL DAMAGE,211
CRIMINAL DAMAGE,2412
MOTOR VEHICLE THEFT,1414
ROBBERY,831
BATTERY,1032
ASSAULT,612
THEFT,2211
CRIMINAL DAMAGE,123
BATTERY,1121
BATTERY,1834
BATTERY,421
MOTOR VEHICLE THEFT,522
CRIMINAL DAMAGE,633
THEFT,2234
BATTERY,511
ASSAULT,1512
CRIMINAL DAMAGE,511
BATTERY,1412
ASSAULT,1512
BURGLARY,634
ASSAULT,324
THEFT,1722
BURGLARY,1412
ROBBERY,1424
CRIMINAL DAMAGE,834
OTHER OFFENSE,1913
OTHER OFFENSE,421
CRIMINAL TRESPASS,1834
CRIMINAL TRESPASS,212
CRIMINAL DAMAGE,211
THEFT,833
ROBBERY,1611
THEFT,822
CRIMINAL DAMAGE,1121
CRIMINAL DAMAGE,333
CRIMINAL DAMAGE,612
ASSAULT,112
SEX OFFENSE,1233
CRIMINAL DAMAGE,631
MOTOR VEHICLE THEFT,1733
MOTOR VEHICLE THEFT,1412
CRIMINAL DAMAGE,114
BATTERY,622
ROBBERY,2213
THEFT,623
ASSAULT,2212
ROBBERY,1213
ROBBERY,2431
ARSON,1133
BURGLARY,225
BURGLARY,1611
ROBBERY,222
BURGLARY,2424
THEFT,1422
BURGLARY,334
CRIMINAL DAMAGE,1934
MOTOR VEHICLE THEFT,1733
ASSAULT,434
OTHER OFFENSE,2523
ROBBERY,1732
THEFT,1211
CRIMINAL TRESPASS,232
CRIMINAL DAMAGE,723
OFFENSE INVOLVING CHILDREN,624
SEX OFFENSE,1925
ROBBERY,632
ASSAULT,533
CRIMINAL DAMAGE,123
CRIMINAL DAMAGE,612
ASSAULT,124
OTHER OFFENSE,1524
CRIMINAL DAMAGE,133
BATTERY,823
ASSAULT,2413
THEFT,932
BATTERY,433
BATTERY,1033
CRIMINAL DAMAGE,312
ROBBERY,1423
THEFT,921
THEFT,532
CRIMINAL DAMAGE,2011
BATTERY,1211
BATTERY,123
ROBBERY,1225
ROBBERY,1412
THEFT,2524
CRIMINAL DAMAGE,731
THEFT,423
CRIMINAL DAMAGE,1914
OTHER OFFENSE,432
THEFT,1821
BATTERY,2432
BATTERY,124
ASSAULT,632
MOTOR VEHICLE THEFT,432
MOTOR VEHICLE THEFT,432
THEFT,112
THEFT,1431
BATTERY,631
THEFT,2422
ROBBERY,221
DECEPTIVE PRACTICE,1652
NARCOTICS,1533
DECEPTIVE PRACTICE,1212
MOTOR VEHICLE THEFT,711
CRIMINAL DAMAGE,214
THEFT,1233
BATTERY,1022
CRIMINAL DAMAGE,921
BATTERY,1923
THEFT,1911
BURGLARY,1924
DECEPTIVE PRACTICE,913
CRIMINAL TRESPASS,1012
SEX OFFENSE,1132
THEFT,1834
BATTERY,2533
DECEPTIVE PRACTICE,1522
ASSAULT,1225
THEFT,2234
CRIMINAL DAMAGE,824
CRIMINAL DAMAGE,2011
