Primary Type,Beat
BATTERY,214
CRIMINAL DAMAGE,814
THEFT,715
MOTOR VEHICLE THEFT,523
THEFT,213
WEAPONS VIOLATION,1033
BATTERY,224
WEAPONS VIOLATION,1131
CRIMINAL DAMAGE,312
THEFT,213
BATTERY,212
CRIMINAL DAMAGE,123
CRIMINAL DAMAGE,524
CRIMINAL TRESPASS,122
BURGLARY,2424
THEFT,1013
WEAPONS VIOLATION,1834
BATTERY,2521
BATTERY,2521
BATTERY,411
CRIMINAL DAMAGE,834
OTHER OFFENSE,624
BATTERY,512
THEFT,112
MOTOR VEHICLE THEFT,533
CRIMINAL DAMAGE,1124
BATTERY,1822
THEFT,122
CRIMINAL DAMAGE,1225
MOTOR VEHICLE THEFT,131
BATTERY,322
BATTERY,922
BATTERY,1623
THEFT,1924
ROBBERY,1823
BATTERY,1023
BATTERY,433
WEAPONS VIOLATION,1225
BATTERY,112
BATTERY,912
BATTERY,1231
BATTERY,1831
BATTERY,2535
CRIMINAL TRESPASS,1522
BATTERY,132
OTHER OFFENSE,423
BATTERY,715
ASSAULT,631
CRIMINAL DAMAGE,715
ROBBERY,2532
CRIMINAL DAMAGE,715
CRIMINAL DAMAGE,215
CRIMINAL DAMAGE,132
BATTERY,1123
CRIMINAL DAMAGE,433
WEAPONS VIOLATION,1234
ARSON,2221
BATTERY,1211
ROBBERY,234
BATTERY,1012
ROBBERY,131
BATTERY,524
BATTERY,612
ASSAULT,1722
CRIMINAL DAMAGE,332
OFFENSE INVOLVING CHILDREN,1024
MOTOR VEHICLE THEFT,331
BATTERY,1123
THEFT,1832
THEFT,725
BATTERY,923
THEFT,1831
WEAPONS VIOLATION,312
WEAPONS VIOLATION,914
ROBBERY,931
ASSAULT,715
OTHER OFFENSE,323
BATTERY,1423
BATTERY,715
BURGLARY,2514
BATTERY,1423
BATTERY,733
ROBBERY,931
ASSAULT,834
ASSAULT,323
BATTERY,613
BATTERY,1132
OTHER OFFENSE,224
BATTERY,1834
MOTOR VEHICLE THEFT,1834
BATTERY,312
BATTERY,1912
CRIMINAL SEXUAL ASSAULT,832
CRIMINAL DAMAGE,133
BATTERY,122
CRIMINAL DAMAGE,622
ASSAULT,723
BATTERY,732
BATTERY,631
THEFT,1925
THEFT,2024
HOMICIDE,224
THEFT,2524
BATTERY,822
THEFT,1632
BURGLARY,1933
